4, 11, 15, 51
4, 11, 16, 82
4, 11, 17, 15
4, 12, 15, 163
4, 12, 16, 309
4, 12, 17, 44
4, 13, 15, 47
4, 13, 16, 114
4, 17, 16, 4
5, 11, 14, 69
5, 11, 15, 58
5, 11, 17, 117
5, 11, 18, 17
5, 12, 14, 256
5, 12, 15, 218
5, 12, 16, 69
5, 12, 17, 424
5, 12, 18, 44
5, 13, 14, 235
5, 13, 15, 470
5, 13, 16, 320
5, 13, 17, 579
5, 13, 18, 56
5, 13, 20, 9
5, 13, 21, 8
5, 14, 14, 194
5, 14, 15, 278
5, 14, 17, 321
5, 14, 18, 32
5, 15, 14, 58
5, 15, 15, 60
5, 15, 17, 39
5, 16, 15, 5
5, 17, 16, 4
6, 11, 12, 101
6, 11, 13, 86
6, 11, 14, 48
6, 11, 18, 106
6, 11, 19, 92
6, 11, 20, 5
6, 12, 12, 331
6, 12, 13, 316
6, 12, 14, 184
6, 12, 18, 349
6, 12, 19, 324
6, 12, 20, 10
6, 13, 12, 220
6, 13, 13, 346
6, 13, 14, 212
6, 13, 15, 145
6, 13, 16, 220
6, 13, 17, 71
6, 13, 18, 377
6, 13, 19, 284
6, 13, 20, 8
6, 13, 22, 5
6, 14, 12, 153
6, 14, 13, 170
6, 14, 14, 211
6, 14, 15, 145
6, 14, 16, 80
6, 14, 17, 131
6, 14, 18, 307
6, 14, 19, 113
6, 15, 12, 103
6, 15, 13, 149
6, 15, 14, 421
6, 15, 15, 422
6, 15, 16, 156
6, 15, 17, 395
6, 15, 18, 366
6, 15, 19, 85
6, 16, 12, 43
6, 16, 13, 53
6, 16, 14, 489
6, 16, 15, 495
6, 16, 16, 207
6, 16, 17, 493
6, 16, 18, 217
6, 16, 19, 8
7, 11, 10, 58
7, 11, 11, 114
7, 11, 12, 12
7, 11, 20, 97
7, 11, 21, 59
7, 12, 10, 177
7, 12, 11, 428
7, 12, 12, 105
7, 12, 19, 15
7, 12, 20, 464
7, 12, 21, 207
7, 13, 10, 9
7, 13, 11, 328
7, 13, 12, 93
7, 13, 13, 17
7, 13, 18, 27
7, 13, 19, 107
7, 13, 20, 270
7, 13, 21, 180
7, 14, 11, 231
7, 14, 12, 71
7, 14, 19, 113
7, 14, 20, 243
7, 14, 21, 150
7, 15, 11, 236
7, 15, 12, 167
7, 15, 13, 94
7, 15, 16, 4
7, 15, 18, 61
7, 15, 19, 275
7, 15, 20, 202
7, 15, 21, 152
7, 16, 11, 193
7, 16, 12, 532
7, 16, 13, 674
7, 16, 14, 760
7, 16, 15, 792
7, 16, 16, 789
7, 16, 17, 804
7, 16, 18, 692
7, 16, 19, 638
7, 16, 20, 78
7, 16, 21, 33
7, 19, 15, 8
8, 11, 9, 69
8, 11, 10, 65
8, 11, 21, 58
8, 11, 22, 73
8, 12, 9, 255
8, 12, 10, 291
8, 12, 11, 6
8, 12, 21, 290
8, 12, 22, 284
8, 13, 9, 155
8, 13, 10, 201
8, 13, 11, 32
8, 13, 21, 171
8, 13, 22, 218
8, 13, 23, 6
8, 14, 9, 124
8, 14, 10, 173
8, 14, 11, 29
8, 14, 20, 9
8, 14, 21, 160
8, 14, 22, 198
8, 15, 9, 117
8, 15, 10, 186
8, 15, 11, 111
8, 15, 12, 7
8, 15, 20, 46
8, 15, 21, 225
8, 15, 22, 169
8, 16, 9, 11
8, 16, 10, 266
8, 16, 11, 784
8, 16, 12, 748
8, 16, 13, 667
8, 16, 14, 705
8, 16, 15, 687
8, 16, 16, 746
8, 16, 17, 808
8, 16, 18, 816
8, 16, 19, 795
8, 16, 20, 819
8, 16, 21, 295
8, 16, 22, 32
8, 17, 13, 4
8, 17, 14, 10
8, 17, 17, 5
8, 17, 18, 22
8, 17, 19, 14
8, 17, 20, 4
8, 18, 15, 18
8, 19, 15, 12
9, 11, 8, 61
9, 11, 9, 64
9, 11, 22, 50
9, 11, 23, 56
9, 12, 8, 180
9, 12, 9, 314
9, 12, 22, 270
9, 12, 23, 209
9, 13, 8, 144
9, 13, 9, 203
9, 13, 10, 4
9, 13, 22, 143
9, 13, 23, 110
9, 14, 8, 105
9, 14, 9, 197
9, 14, 10, 10
9, 14, 22, 112
9, 14, 23, 93
9, 15, 8, 101
9, 15, 9, 233
9, 15, 10, 60
9, 15, 12, 25
9, 15, 13, 46
9, 15, 17, 27
9, 15, 18, 48
9, 15, 19, 46
9, 15, 21, 10
9, 15, 22, 168
9, 15, 23, 56
9, 16, 8, 7
9, 16, 9, 220
9, 16, 10, 827
9, 16, 11, 793
9, 16, 12, 606
9, 16, 13, 538
9, 16, 14, 609
9, 16, 15, 625
9, 16, 16, 746
9, 16, 17, 826
9, 16, 18, 448
9, 16, 19, 687
9, 16, 20, 794
9, 16, 21, 797
9, 16, 22, 284
9, 17, 12, 6
9, 17, 13, 48
9, 17, 14, 482
9, 17, 15, 82
9, 17, 16, 6
9, 17, 17, 9
9, 18, 14, 109
9, 18, 15, 7
10, 11, 8, 117
10, 11, 23, 106
10, 12, 8, 471
10, 12, 23, 417
10, 13, 8, 299
10, 13, 9, 15
10, 13, 22, 15
10, 13, 23, 204
10, 14, 8, 223
10, 14, 9, 19
10, 14, 21, 4
10, 14, 22, 35
10, 14, 23, 220
10, 15, 8, 137
10, 15, 9, 82
10, 15, 11, 43
10, 15, 12, 18
10, 15, 13, 76
10, 15, 14, 7
10, 15, 17, 67
10, 15, 19, 77
